x Curve1
141.65 0.00105162
144.287 0.00119262
151.069 0.00135253
159.642 0.00169632
167.162 0.0021275
173.441 0.00266827
179.946 0.00318223
186.705 0.0039911
190.186 0.00464159
199.13 0.00539809
204.725 0.00677019
214.348 0.00767796
222.382 0.00892935
232.852 0.0109207
246.066 0.0136966
257.651 0.0167511
272.272 0.021009
285.091 0.0256943
301.261 0.0314245
318.348 0.0384326
336.405 0.0470036
358.757 0.0574861
379.096 0.0685592
404.285 0.0838489
427.205 0.1
455.579 0.119262
472.572 0.116298
490.322 0.145859
527.688 0.169632
562.736 0.202307
605.604 0.229433
663.708 0.229433
727.404 0.23528
789.962 0.247424
865.796 0.260196
940.304 0.287751
1011.96 0.334649
1079.17 0.39911
1140.38 0.488118
1216.16 0.596975
1296.9 0.694273
1395.77 0.828005
1447.94 0.870744
1558.24 0.987496
1707.82 1.03847
1871.72 1.06493
2032.65 1.09207
2310.76 1.06493
2486.48 1.06493
2775.43 1.06493
2986.48 1.06493
3213.75 1.1199
3489.79 1.06493
3721.01 1.09207
4003.88 1.06493
4269.06 1.06493
4636.21 1.1199
5034.43 1.06493
5127.53 1.06493
5568.5 1.1199
6046.8 1.06493
6158.62 1.06493
6688.28 1.1199
7196.52 1.06493
7673.35 1.09207
8332.65 1.06493
8803.51 1.06493
9560.63 1.1199
10381.8 1.06493
10573.8 1.06493
11483.2 1.1199
12469.5 1.06493
12700.1 1.06493
13792.3 1.1199
14977 1.06493
15254 1.06493
16565.8 1.1199
17988.7 1.06493
20638.7 1.06493
22208.2 1.06493
24788.9 1.06493
26674 1.06493
29773.8 1.06493
32037.9 1.06493
33850 1.1199
36757.5 1.06493
39192 1.06493
42562.6 1.1199
45796.9 1.06493
49735.6 1.1199
54007.5 1.06493
55006.2 1.06493
59736.9 1.1199
64867.9 1.06493
66067.4 1.06493
71749.4 1.1199
77912.2 1.06493
79352.9 1.06493
86177.5 1.1199
92726.2 1.06493
98870 1.09207
