x,Curve1
1.46301,214771
1.71887,236998
1.98322,214771
2.20778,194628
2.47976,170679
2.76055,154671
3.01861,140165
3.42109,127019
3.9468,104311
4.47287,91475.2
4.97897,77628.4
5.49336,70347.8
6.06001,55905.5
6.80632,47442.9
7.85138,35307.1
8.89723,28994.9
9.99259,23811.2
11.6296,16594.3
14.4087,10829.9
16.7717,8606.51
19.3489,7067.85
21.9288,6404.97
24.4117,5804.27
26.9338,5259.9
29.9846,4925.66
33.6809,4612.66
38.5147,4180.05
43.6515,3914.43
48.5977,3788.01
54.1023,3547.3
58.6331,3214.61
66.4507,2913.12
76.6704,2639.91
86.1158,2315.06
96.7247,2030.19
114.633,1780.37
139.547,1510.87
163.892,1200.69
190.791,1052.94
216.206,864.696
238.534,758.293
265.543,687.175
290.367,622.727
329.058,528.463
376.269,463.434
426.391,380.582
478.868,302.449
528.167,203.973
572.127,120.633
647.677,39.5131
745.545,4.38074
